,label,stemmed_narasi_model,stemmed_judul_model
0,1,caller tapi radio talk show recently shared that his wife was hospitalized told she had covid only couple of days left tapi live doctor friend suggested she be tested for legionnaires disease because she wore the same mask every day all day long turns out itu was legionnaires disease from the moisture bacteria ini her mask she was given antibiotics within two days was better what if these spikes ini covid are really something else due tapi mask induced infections,pakai masker sebab sakit legionnaires
1,1,ythseluruh anggota grup sesuai instruksi gubernur jawa tengah hasil rapat tim gugus tugas covid jateng sebab,instruksi gubernur jateng tentang tilang bagi yang tidak masker di muka umum rp guna etilang via apps pikobar
2,1,jokowi adalah presiden baik dalam sejarah bangsa indonesia jim rohn motivator baik dunia,foto jim rohn jokowi adalah presiden baik dalam sejarah bangsa indonesia
3,1,maaf mas dan mbak ini bukan politik tapi nyata pak jokowi hasil pulang triliun uang negara dari swiss ribu triliun siap di bawa balik ke indonesiaruu treaty on mutual legal assistance ini criminal matters between the republic of indonesia and the swiss confederation mla riswiss resmi sah dpr ri tanggal juli dengan demikian proses konstitusi tarik dana di swiss sudah selesai juang yang panjang hadap ex koruptor yang bersenggama dengan agama terimakasih para kadrun yang terus nyinyirian kapan uang triliun kembali ke indonesia tanpa anda nyinyir rasa sulit ruu itu bisa sah oleh dpr milik rekening gendut siap siap gigit jari mungkin tekan ke pak jokowi makin kencang ini baca berita,ini bukan politik tapi nyata pak jokowi hasil pulang triliun uang negara dari swiss
4,1,kadrun kalo lihat foto ini panas dingin,foto kadrun kalo lihat foto ini panas dingin
5,1,selamat siang teman teman fb ku semuanyacuman mau beri informasi dan rezeky enggak mana ya kemarin saya ikut event promo smartphone jne spesial di bulan juni ini dan saya mesan smartphone vivo pro cuman harga rpgak sangka cuma harga rp aku bisa dapat hp vivo pro bagi teman teman fb ku yang penasaran atau mau ikut inbox aja wa adminnya,event promo smartphone jne spesial di bulan juni
6,1,lihat mereka sudah siap diri dengan baik untuk kuasa negri ini,mereka sudah siap diri dengan baik untuk kuasa negri ini
7,1,italia punya fasilitas awat sehat canggih tapi semua gagal kendali corona karena awal itu hanya anggap sekadar lelucon dan sekarang presiden mereka menang karena tak cukup lahan untuk kubur an korban corona per hari mungkin hari ini sudah lebih dari,foto presiden italia menang karena tak cukup lahan untuk kubur an korban corona per hari
8,1,polisi goblok buka cepat tolongin malah liat saja,kapolres timor tengah utara nusa tenggara timur beri klarifikasi kait video polisi diam korban celaka
9,1,polisi china telah aniaya wanita uighur leher di cekik pakai kaki melek itu yang bilang tidak ada aniaya dan ham diam ribu bahasa olah polisi itu kata lihat nanti gilir anda sama orang di sekitar biadab,video polisi china telah aniaya wanita uighur leher di cekik pakai kaki
10,1,akhir jokowi sedia undur diri gue harus siap nih,akhir jokowi sedia undur diri
11,1,begal sudah mulai rambat ke wilayah cianjur wilayah rewan begal antara lain harap waspada penuh utama malam hari jalur gekbrong arah sukabmi cibeber dari arah campaka sampai cilaku,info jalur rawan begal dan himbauan untuk tidak keluar malam oleh kapolres cianjur
12,1,turut duka cita atas tinggal juang angkat bapak cosmas batubara hari sabtu juli pukul wib moga yang maha kuasa ampun segala dosa dan dapat tempat yang layak sisi nya aamiin,dirut pt agung podomoro land cosmas batubara tinggal dunia
13,1,bantu sebar ya pak sby sudah telpon moeldoko suruh jkw aku kalah ini info dari orang jenderal jadi enggak usah pada gusar panik lagi ya pejuangpejuang info valid,sby sudah telepon moeldoko suruh jokowi aku kalah
14,1,rela anak cucu kita bikin seperti anak rohingya ini ketika komunis kuasa,foto anak rohingya siksa komunis
15,1,ini jadi di pln pltu cilacap bunton adipala orang cina tidak bisa bahasa indonesia apalagi bahasa jawa banyumasan tapi punya ktp cilacap atas nama karsono payah kie camat dan bupatine kalau benar jadi,orang cina punya ktp cilacap atas nama karsono
16,1,fadlizon semua warga indonesia yang tidak pilih prabowo di pilpres akan kamu usir dari indonesia serius ini sih zonk,fadli zon semua warga indonesia yang tidak pilih prabowo di pilpres akan kami usir dari indonesia
17,1,informasi resmi dari depnaker republik indonesia selamat anda pilih dapat harga besar nt dari departemen tenaga kerja indonesia bagai pahlawan devisa negara baik tahun kode registrasi twn hubung call office an haryono atau kunjung alamat website wwwdepnakeryolasitecom bagi anda penerimah pemberitahuan ini lalu telephone atau sms whatsapp arti telah resmi dapat harga sebut tanpa undi lagi harga depnaker bebas biaya dan telah dapat sertifikat bebas pajak dari perintah republik indonesia urus harga telah dapat awas dari polisi negara republik indonesia dumaksudkan untuk hindar halhal negatif ingat hati hati tipu bila dalam urus anda minta biaya dari oknum oknum yang tidak bertanggunh jawab tanpa tahu dari pihak depnaker ri kirim depnaker ri,pesan beranta undi hadiah dari menteri tenaga kerja untuk kerja migran indonesia di hongkong
18,1,hahhahhahahhaha indonesia di penuh pki gimanah nih apa kowi,indonesia di penuh pki
19,0,astaga sandiaga saran warga ngadu ke lurah saja tak perlu ke balai kota,sandi saran warga ngadu ke lurah saja
20,1,prediksi besok bandung kota besok di sinyalir ada dua kubu besar demo lagi besar ojek online gabung mau kumpul minta tggung jawab ke kubu angkot gabung soal di jlbkr grab ojek di tabrak sngaja sampai mati di buah batu grab mati jg di tabrak angkot di karapitan grab juga di gebukin angkot ada juga ojek online yg hilang ga ada kabar,demo dan konflik antara ojek online dengan angkut umum di bandung
21,0,irina istri ahli it hermansyah sebut mantan psk,irina istri ahli it hermansyah sebut mantan psk
22,0,nezar patria adalah kader pki ikut rapat tiap malam di istana telah jam malam demikian tuduh dari alfian tandjung,nezar patria adalah kader pki ikut rapat tiap malam di istana telah jam malam demikian tuduh dari alfian tandjung
23,1,hati hati panggil telpon nomor tidak kenal,hati hati panggil telpon nomor tidak kenal
24,1,pada april lalu menteri dagang rachmat gobel laku bijak larang jual minum alkohol alias minum keras di minimarket seluruh indonesia namun larang yang tuang dalam atur menteri dagang permendag nomor mdagper tentang kendali dan awas hadap ada edar dan jual minum alkohol itu kini akan ubah,larang antimiras di minimarket tiada oleh rezim jokowi paska gobel
25,1,corona is hoax,corona adalah hoaks
26,1,kapal kargo dari indonesia tuju ke china lapor tenggelam di laut china selatan pada sabtu malam pukul waktu tempat akibat bocor lambung kapal kapal sebut angkut kadrun tuju china dengan tuju bagai objek coba vaksin covid mana harga monyet di china sangat mahal sementara harga kadrun bisa kali lebih murah dari harga monyet sampai saat ini masih dalam lidi otoritas tiongkok kena sebab celaka fatal sebut,kapal kargo angkut kadrun tenggelam di laut china selatan
27,1,lihat kumpul orang jawa tulen yang sedang santap kuliner khas jawa upa nasi samin kebab buaya panggang dan minum tentu fifis onta segar cakap dari mereka pun pakai bahasa jawa halus alias kromo inggil pulaseperti ana akh antum afwan dan lain lain hmmm sungguh kagum sekali bukan nb seng wani protes pki opo kowe bong,foto gubernur anies sedang makan dengan kumpul orang jawa tulen
28,1,nah mundur lebih hormat daripada di pecat hayo yang lain monggo undur diri saja kalau rasa tidak sanggup dan tidak becus kerja,mulan jameela undur diri dari dpr ri
29,1,fkppi dari bandung sudah kumpul di monas siap siaga segala mungkin jadi apabila ruu hip syah oleh dpr revolusi jihad mati syahid atau hidup mulia bela negara dari ancam komunisme,video fkppi dari bandung sudah kumpul di monas siap siaga apabila ruu hip syah oleh dpr
30,1,bantu yang baru datang orang di tes semua positif corona,bantu baru positif corona di jaring
31,1,sudjiatmi siksa di alam barzakh hj sudjiatmi ibu presiden jokowi siksa di alam kubur cara sadis cara brutal dan sangat kejam tanpa ampun saat tanggal april bulan lalu jenazah sudjiatmi di semayam ke alam kubur entah tiba hanya orang yang belum anjak dari makam beliau nyata presiden joko widodo,foto sudjiatmi siksa di alam barzakh
32,1,astaghfirullah kemarin sama kita lawan virus corona sekarang ayo kita damai dngn virus corona arti perintah telah kalah dan kibar bendera putih tanda serah,damai dengan corona yang maksud jokowi adalah perintah telah kalah dan serah
33,1,tahu teman ku di group ini kenapa guna stiker untung buat nya tiap stiker atau gambar yang saudara krmkan di wa ini bayar beban kepada yang terima rp,terima stiker pada pesan whatsapp kena jumlah biaya
34,1,aku mirip ashraf pria ini ingin nikah bcl,foto mahfud md aku mirip ashraf ingin nikah bcl
35,1,telah culik keponakan dari ibu yulianah umur anak bulan jenis kelamin perempuan jadi angkot lebak bulus parung ibunda sih bayi hipnotis angkot turun di pondok cabe oleh pelakupenculikan jadi hari sabtu feb sekitar jam,telah culik umur anak bulan jadi angkot lebak bulus parung ibunda sih bayi hipnotis
36,1,dapet info dari client virus corona sudah sampai sini di apartement ta sudah ada orang wuhan yang kena tapi management tutup supaya mall bisa operasi dan mereka enggak rugi barusan banget dapat info dari client saya yang suami orang cina mereka ada komunitas orang cina di indonesia dan mereka kasih tau untuk jauh apartement ta dan sekitar,virus corona sudah sampai di apartemen taman anggrek
37,1,presiden cina xi jinping unjung masjid dan minta umat islam untuk doa di negara yang sedang landa krisis ini kami butuh bantu anda,presiden cina xi jinping unjung masjid dan minta umat islam doa untuk negeri yang sedang landa krisis
38,1,biaya tilang baru di indonesia kapolri baru mantap tidak ada stnk rp tdk bawa sim rp tdk pakai helm rp,pesan beranta biaya tilang baru
39,1,jokowi mulai puct sby ungkp plku krup jiwasraya duga orang belakang jokow heboh,video jokowi mulai pucat sby ungkap laku korupsi
40,1,kenal all jakarta water park,all jakarta water park
41,1,dinas dukcapil jakarta tidak wajib warga jakarta ganti kk lama dengan tenggat waktu imbau untuk segera mutakhir data memang terus dorong perintah utama input data status nikah golong darah dan susun anggota keluarga,ganti kartu keluarga warga dki jakarta
42,1,bayi ini bulan dalam perut ibu habis usus ibu makan oleh bayi ini kemudian dokter mengoprasi ibu untuk keluar bayi ini ketika bayi ini keluar dia gigit tangan awat telah jam sih awat tinggal ibu bayi ini pun tinggal telah bayi ini keluar bayi ini lahir dengan berat kg telah jam tambah naik berat jadi kg bayi ini lahir hari jumat tidak tahu allah ingin kasih ingat apa untuk kita semua bayi ini kemudian bunuh dokter beri suntik mati sampai kali baru bayi ini mati ini kisah benarbenar jadi di india wallahu alam,usus ibu makan oleh bayi ini
43,1,ngeri sih moga teman yang ada sana selamat amin yrb,foto awan keri di jepang
44,1,presiden korea utara hukum jabat yang libat dalam kasus korupsi hadap para awak media cetak dan elektronik cara berrjalan gandeng tangan lalu plung bawah kandang buaya luaaaar biasa,narasi presiden korea utara hukum jabat yang korupsi
45,1,adapun formasi sebut adalah merahputih kh ahmad dahlan logo umm students today leaders tomorrow peta indonesia dan pray for lombok,almarhum habibie di formasi jas merah mob umm
46,1,camat pedurungan,tugas tewas setrum ketika laku baik listrik
